id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0068,2010,Drip Feed,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.64,www.doomworld.com/idgames/levels/doom2/Ports/d-f/dripfeed
0069,2010,Epic 2,Doom 2,32,TRUE,FALSE,FALSE,TRUE,16.49,www.doomworld.com/idgames/levels/doom2/megawads/epic2
0070,2010,Stronghold - On the Edge of Chaos,Doom 2,39,TRUE,TRUE,FALSE,TRUE,148,stronghold.drdteam.org/
0071,2011,Plutonia: Revisited,Doom 2,32,TRUE,TRUE,FALSE,TRUE,4.94,www.doomworld.com/idgames/levels/doom2/Ports/megawads/prcp
0072,2011,Vaporware (DEMO),Doom 2,1,TRUE,FALSE,FALSE,TRUE,7.5,esselfortium.net/wasd/vaprdemo.zip
0073,2011,Lunatic,Doom 2,5,TRUE,FALSE,FALSE,TRUE,3.87,www.doomworld.com/idgames/levels/doom2/Ports/j-l/lunatic
0074,2011,Double Impact,Doom,9,TRUE,TRUE,TRUE,TRUE,1.31,www.doomworld.com/idgames/levels/doom/Ports/d-f/dbimpact
0075,2011,Vanguard,Doom 2,13,TRUE,FALSE,FALSE,TRUE,9.45,www.doomworld.com/idgames/levels/doom2/Ports/v-z/vanguard
0076,2011,Reverie,Doom 2,32,TRUE,TRUE,TRUE,TRUE,4.05,www.doomworld.com/idgames/levels/doom2/megawads/reverie
0077,2011,Jenesis,Doom 2,32,TRUE,TRUE,FALSE,TRUE,6.36,www.doomworld.com/idgames/levels/doom2/Ports/megawads/jenesis
0078,2011,Icebound,Heretic,1,TRUE,FALSE,FALSE,TRUE,1.02,www.doomworld.com/idgames/levels/heretic/Ports/ice-lutz
0079,2011,Mandrill Ass Project,Doom 2,9,TRUE,FALSE,FALSE,FALSE,3.35,www.doomworld.com/idgames/levels/doom2/Ports/m-o/mandrill
0080,2011,Khorus' Speedy Shit,Doom 2,32,TRUE,FALSE,FALSE,TRUE,1.11,www.doomworld.com/idgames/levels/doom2/megawads/kssht
0081,2012,Doom the Way id Did,Doom,27,TRUE,TRUE,TRUE,TRUE,1.91,www.doomworld.com/idgames/levels/doom/megawads/dtwid
0082,2012,Strife: Absolute Order,Strife,6,TRUE,FALSE,FALSE,TRUE,23.48,www.doomworld.com/idgames/levels/strife/sabord
0083,2012,Putrefier,Doom 2,1,TRUE,FALSE,FALSE,TRUE,20.1,www.doomworld.com/idgames/levels/doom2/Ports/m-o/ma_put
0084,2012,5till L1 Complex,Doom 2,1,TRUE,FALSE,FALSE,TRUE,4.04,www.doomworld.com/idgames/levels/doom2/Ports/0-9/5l1c
0085,2012,Community Chest 4,Doom 2,32,TRUE,FALSE,FALSE,TRUE,23.47,www.doomworld.com/idgames/levels/doom2/Ports/megawads/cchest4
0086,2012,Reelism,Doom 2,17,TRUE,TRUE,FALSE,TRUE,101.5,thekinsie.com/reelism/
0087,2012,The Eye,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.9,www.doomworld.com/idgames/levels/doom2/Ports/d-f/eye
0088,2012,Combat Shock 2,Doom 2,7,TRUE,FALSE,FALSE,TRUE,8.29,www.doomworld.com/idgames/levels/doom2/Ports/a-c/c-shock2
0089,2012,Winter's Fury,Doom 2,14,TRUE,FALSE,FALSE,TRUE,125.37,www.dropbox.com/s/vopkdkwl8ymnkvo/Winter%27s%20Fury%20v2016.5.zip?dl=0
0090,2012,Base Ganymede: Complete,Doom,27,TRUE,TRUE,FALSE,TRUE,2.06,www.doomworld.com/idgames/levels/doom/megawads/bgcomp
0091,2013,Back to Saturn X: Episode 1,Doom 2,27,TRUE,TRUE,FALSE,TRUE,18.4,https://www.doomworld.com/idgames/levels/doom2/megawads/btsx_e1
0092,2013,Doom 2 the Way id Did,Doom 2,32,TRUE,TRUE,TRUE,TRUE,1.98,www.doomworld.com/idgames/levels/doom2/megawads/d2twid
0093,2013,Unholy Realms,Doom 2,32,TRUE,TRUE,FALSE,TRUE,8.86,www.doomworld.com/idgames/levels/doom2/megawads/ur
0094,2013,ZDoom Community Map Project: Take II,Doom 2,1,TRUE,TRUE,FALSE,TRUE,51.39,www.doomworld.com/idgames/levels/doom2/Ports/megawads/zdcmp2
0095,2013,Fuel Devourer,Doom 2,1,TRUE,FALSE,FALSE,TRUE,2.2,www.doomworld.com/idgames/levels/doom2/Ports/d-f/fueldevr
0096,2013,kuchitsu,Doom 2,6,TRUE,TRUE,FALSE,FALSE,0.59,www.doomworld.com/idgames/levels/doom2/Ports/j-l/kuchitsu
0097,2013,Forsaken Overlook,Doom 2,1,TRUE,TRUE,TRUE,TRUE,0.73,www.doomworld.com/idgames/levels/doom2/Ports/d-f/fsknovlk
0098,2013,Stardate 20X6,Doom 2,8,TRUE,TRUE,FALSE,TRUE,4.76,www.doomworld.com/idgames/levels/doom2/Ports/s-u/stardate
0099,2013,Pirate Doom,Doom 2,19,TRUE,TRUE,TRUE,TRUE,25.62,www.doomworld.com/idgames/levels/doom2/Ports/p-r/pirates
